ModuleCode,Age,Average
VIS3108,18,51.51515152
VIS3108,19,54.86111111
VIS3108,20,43.03030303
VIS3108,21,50.73891626
VIS3108,22,50
VIS3108,27,65.51724138
VIS3108,31,96.55172414
VIS3108,32,48.27586207
VIS3108,33,89.65517241
VIS3108,36,65.51724138
VIS3108,39,89.65517241
VIS3108,43,50
VIS3108,45,32.14285714
VIS3108,52,37.93103448
VIS3108,53,62.06896552
VIS3108,62,65.51724138
VIS3108,63,41.37931034
VIS3108,67,34.48275862
VIS3108,68,34.48275862
VIS3102,19,20
VIS3102,21,50
VIS3102,67,0
VIS3102,18,37.5
VIS3102,45,0
VIS3102,52,0
VIS3102,43,100
VIS3102,63,100
VIS3102,22,62.5
VIS3102,39,100
VIS3102,68,0
VIS3102,20,60
VIS3102,32,0
VIS3102,36,100
VIS3102,33,100
VIS3102,62,0
VIS3102,53,100
VIS3102,27,100
VIS3102,31,100
VIS3109,19,59.47368421
VIS3109,67,36.84210526
VIS3109,21,53.78787879
VIS3109,18,55.92105263
VIS3109,45,47.36842105
VIS3109,52,84.21052632
VIS3109,43,52.63157895
VIS3109,20,62.24489796
VIS3109,63,38.88888889
VIS3109,22,51.31578947
VIS3109,39,85.71428571
VIS3109,68,52.63157895
VIS3109,32,47.36842105
VIS3109,36,63.15789474
VIS3109,33,77.77777778
VIS3109,62,78.94736842
VIS3109,53,78.94736842
VIS3109,27,57.89473684
VIS3109,31,100
GAV3020,22,60.10869565
GAV3020,59,64.28571429
GAV3020,65,71.42857143
GAV3020,21,62.65060241
GAV3020,18,71.12359551
GAV3020,20,65.51724138
GAV3020,33,55.35714286
GAV3020,57,100
GAV3020,46,65.06024096
GAV3020,19,63.39449541
GAV3020,47,34.52380952
GAV3020,43,40.96385542
GAV3020,67,59.03614458
GAV3020,25,35.71428571
GAV3020,29,63.85542169
GAV3020,40,78.57142857
GAV3020,55,33.33333333
GAV3020,49,78.57142857
GAV3020,60,94.64285714
GAV3020,23,53.57142857
GAV3020,50,80.35714286
GAV3020,27,41.07142857
GAV3020,39,28.57142857
GAV3020,66,60
GAV3020,31,96.42857143
GAV3020,38,82.14285714
GAV3020,44,66.07142857
GAV3020,58,25.92592593
GAV3020,42,48.80952381
GAV3020,30,92.85714286
GAV3020,51,96.42857143
GAV3020,32,35.71428571
